Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
531323,BSE,JAYATMA INDUSTRIES LIMITED,JAYIND,Jayatma Industries Ltd,Active,X ,10,INE250D01017,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
531324,BSE,Roselabs Finance Ltd.,ROSELABS,ROSELABS FINANCE LTD.,Active,X ,10,INE475C01012,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
531327,BSE,Charms Industries Ltd,CHARMS,CHARMS INDUSTRIES LTD.,Active,X ,10,INE442C01012,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
531328,BSE,KRETTO SYSCON LIMITED,KRETTOSYS,Kretto Syscon Ltd,Active,X ,1,INE128R01023,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
531334,BSE,Vikalp Securities Ltd.,VIKALPS,VIKALP SECURITIES LTD.,Active,XT,10,INE186E01011,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
531335,BSE,Zydus Wellness Limited,ZYDUSWELL,ZYDUS WELLNESS LTD.-$,Active,A ,10,INE768C01010,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
531337,BSE,WinPro Industries Limited,WINPRO,WinPro Industries Ltd,Active,B ,5,INE974C01022,Advertising & Media Agencies,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Media,Advertising & Media Agencies
531338,BSE,Milestone Global Limited,MILESTONE,MILESTONE GLOBAL LTD.,Active,X ,10,INE151H01018,Other Construction Materials,Equity,Commodities,Construction Materials,Other Construction Materials,Other Construction Materials
531340,BSE,Bervin Investments And Leasing Ltd.,BERVINL,BERVIN INVESTMENT & LEASING LTD.,Active,XT,10,INE348I01018,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
531341,BSE,"Gujarat Investa Ltd.,",GUJINV,GUJARAT INVESTA LTD.,Active,X ,10,INE373D01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
531343,BSE,India Infraspace Ltd,INDINFRA,INDIA INFRASPACE LTD.,Active,XT,10,INE954M01031,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
531344,BSE,Container Corporation Of India Ltd.,CONCOR,CONTAINER CORPORATION OF INDIA LTD.,Active,A ,5,INE111A01025,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider
531346,BSE,Eastern Treads Ltd.,EASTRED,EASTERN TREADS LTD.,Active,X ,10,INE500D01015,Tyres & Rubber Products,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
531349,BSE,Panacea Biotec Ltd.,PANACEABIO,PANACEA BIOTEC LTD.,Active,B ,1,INE922B01023,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
531352,BSE,Peeti Securities Ltd.,PEETISEC,PEETI SECURITIES LTD.,Active,XT,10,INE328D01011,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
531357,BSE,Mercury Metals Limited,MERMETL,MERCURY METALS LTD.,Active,XT,1,INE763M01028,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
531358,BSE,Choice International Ltd,CHOICEIN,CHOICE INTERNATIONAL LTD.,Active,B ,10,INE102B01014,Holding Company,Equity,Financial Services,Financial Services,Finance,Holding Company
531359,BSE,Shriram Asset Management Co.Ltd.,SRAMSET,SHRIRAM ASSET MANAGEMENT CO.LTD.,Active,X ,10,INE777G01012,Asset Management Company,Equity,Financial Services,Financial Services,Capital Markets,Asset Management Company
531360,BSE,Golechha Global Finance Ltd.,GOLECHA,GOLECHHA GLOBAL FINANCE LTD.,Active,XT,10,INE427D01011,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
